Watchlist Scanner

Results
Symbol,Description,Last,%Change,Volume,Bid,Ask,Delta,Gamma,Theta,Vega,Sizzle Index,Volume,Days,Mark,Mark % of underlying value,VWAP,Prob.ITM,Max Cov Return,Cov Return
RS,RELIANCE STEEL & ALUMINIUM COM,153.335,+4.51%,"221,996",153.23,153.43,1.00,.00,.00,.00,1.963,"221,996",NaN,153.335,100.00%,152.38,<empty>,<empty>,<empty>
HBI,HANESBRANDS INC COM,20.24,+0.95%,"1,947,261",20.24,20.25,1.00,.00,.00,.00,1.849,"1,947,261",NaN,20.240,100.00%,20.37,<empty>,<empty>,<empty>
VRNS,VARONIS SYSTEMS INC COM,52.225,-0.11%,"370,887",52.15,52.23,1.00,.00,.00,.00,1.803,"370,887",NaN,52.225,100.00%,52.55,<empty>,<empty>,<empty>
TSEM,TOWER SEMICONDUCTOR LTD COM,27.675,+0.49%,"292,615",27.65,27.72,1.00,.00,.00,.00,1.802,"292,615",NaN,27.675,100.00%,27.84,<empty>,<empty>,<empty>
AHH,ARMADA HOFFLER PPTYS INC COM USD0.01,12.50,-0.79%,"132,070",12.50,12.53,1.00,.00,.00,.00,1.651,"132,070",NaN,12.500,100.00%,12.64,<empty>,<empty>,<empty>
APD,AIR PRODUCTS & CHEMICALS INC COM,286.81,+3.44%,"594,094",286.84,286.99,1.00,.00,.00,.00,1.585,"594,094",NaN,286.840,100.00%,284.41,<empty>,<empty>,<empty>
UGP,ULTRAPAR PARTICIPACOES SA ADR SPONSORED,3.65,+1.96%,"1,650,677",3.64,3.65,1.00,.00,.00,.00,1.536,"1,650,677",NaN,3.650,100.00%,3.68,<empty>,<empty>,<empty>
ALE,ALLETE INC COM,67.53,-0.22%,"131,088",67.49,67.56,1.00,.00,.00,.00,1.52,"131,088",NaN,67.530,100.00%,67.46,<empty>,<empty>,<empty>
WDAY,WORKDAY INC COM CL A,245.44,-0.29%,"586,165",245.37,245.56,1.00,.00,.00,.00,1.483,"586,165",NaN,245.440,100.00%,247.94,<empty>,<empty>,<empty>
STEP,STEPSTONE GROUP INC COM CL A,33.30,+5.28%,"136,680",33.29,33.58,1.00,.00,.00,.00,1.406,"136,680",NaN,33.300,100.00%,33.09,<empty>,<empty>,<empty>
PPG,PPG INDUSTRIES INC COM,153.79,+0.95%,"711,606",153.78,153.84,1.00,.00,.00,.00,1.258,"711,606",NaN,153.790,100.00%,153.2,<empty>,<empty>,<empty>
PRG,PROG HOLDINGS INC COM,44.85,-0.51%,"277,554",44.77,44.88,1.00,.00,.00,.00,1.196,"277,554",NaN,44.850,100.00%,45.27,<empty>,<empty>,<empty>
ACHC,ACADIA HEALTHCARE COM,57.105,-0.51%,"233,868",57.08,57.13,1.00,.00,.00,.00,1.176,"233,868",NaN,57.105,100.00%,57.46,<empty>,<empty>,<empty>
FGNA,FG NEW AMERICA ACQUISITION COR COM,10.1601,+1.60%,"154,342",10.16,10.17,1.00,.00,.00,.00,1.061,"154,342",NaN,10.160,100.00%,10.14,<empty>,<empty>,<empty>
MRTN,MARTEN TRANSPORT COM,17.345,+6.67%,"339,354",17.32,17.37,1.00,.00,.00,.00,0.964,"339,354",NaN,17.345,100.00%,17.07,<empty>,<empty>,<empty>
CIT,CIT GROUP INC COM,52.452,+3.82%,"894,739",52.44,52.52,1.00,.00,.00,.00,0.95,"894,739",NaN,52.452,100.00%,52.22,<empty>,<empty>,<empty>
LEG,LEGGETT & PLATT INC COM,45.74,-0.50%,"501,412",45.70,45.75,1.00,.00,.00,.00,0.909,"501,412",NaN,45.740,100.00%,46.21,<empty>,<empty>,<empty>
WTFC,WINTRUST FINANCIAL CORP COM,77.79,-0.03%,"198,554",77.71,77.88,1.00,.00,.00,.00,0.811,"198,554",NaN,77.790,100.00%,79.16,<empty>,<empty>,<empty>
PJT,PJT PARTNERS INC COM CL A,68.28,+1.19%,"130,556",68.22,68.34,1.00,.00,.00,.00,0.803,"130,556",NaN,68.280,100.00%,68.45,<empty>,<empty>,<empty>
ROCK,GIBRALTAR INDUSTRIES INC COM,90.39,+2.56%,"127,297",90.23,90.45,1.00,.00,.00,.00,0.652,"127,297",NaN,90.390,100.00%,89.63,<empty>,<empty>,<empty>
LSTR,LANDSTAR SYSTEMS INC COM,167.905,+1.43%,"117,865",167.73,167.95,1.00,.00,.00,.00,0.329,"117,865",NaN,167.905,100.00%,167.7,<empty>,<empty>,<empty>
