

Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,Market Cap,Vol Index,Sizzle Index,Avg Price,Call Sizzle Index
GRFS,GRIFOLS SA ADR SPONSORED,16.78,+.78,+4.88%,"1,009,185",16.66,16.80,"11,487 M",44.03%,2.122,-,3.207
IMKTA,INGLES MARKET INC COM CL A,63.53,+.31,+0.49%,"141,771",61.98,65.87,"1,287 M",34.72%,2.067,-,3.515
FRT,FED REALTY INVEST TRUST SBI USD0.01,98.65,-2.01,-2.00%,"485,073",96.22,98.76,"7,571 M",32.61%,2.048,-,2.835
ENLV,ENLIVEX THERAPEUTICS LTD COM,11.70,-1.23,-9.51%,"321,370",11.01,11.89,213 M,134.19%,2.015,-,2.884
AU,ANGLOGOLD ASHANTI LTD ADR SPONSORED,20.89,-.62,-2.88%,"2,690,007",20.61,21.05,"8,709 M",42.39%,2.009,-,2.688
UMPQ,UMPQUA HOLDINGS CORP COM,17.39,-.37,-2.08%,"1,557,024",15.26,18.60,"3,833 M",++,1.976,-,2.605
FRHC,FREEDOM HOLDING CORP COM,51.36,-1.36,-2.58%,"443,433",51.36,51.58,"3,002 M",62.45%,1.916,-,3.027
HZNP,HORIZON THERAPEUTICS PLC COM,86.19,-4.19,-4.64%,"2,357,801",84.89,90.89,"19,318 M",50.80%,1.905,-,2.618
RUN,SUNRUN INC COM,56.15,-1.23,-2.14%,"7,692,312",56.10,56.49,"11,375 M",80.90%,1.901,-,2.526
APO,APOLLO GLOBAL MANAGEMENT INC COM CL A,49.12,-.30,-0.61%,"4,263,042",48.51,50.10,"11,407 M",31.74%,1.881,-,3.807
WD,WALKER AND DUNLOP COM,100.65,+.77,+0.77%,"294,024",99.75,101.00,"3,114 M",43.62%,1.878,-,2.557
AGI,ALAMOS GOLD INC COM CL A,7.97,-.27,-3.28%,"2,298,147",7.89,8.25,"3,130 M",69.71%,1.845,-,3.303
MAS,MASCO CORP COM,56.88,-.91,-1.57%,"1,678,213",56.30,57.46,"14,626 M",29.05%,1.748,-,2.755
NMRD,NEMAURA MEDICAL INC COM,8.43,+.41,+5.11%,"117,016",8.11,8.50,193 M,136.96%,1.712,-,2.524
JAZZ,JAZZ PHARMACEUTICALS PLC COM,164.31,-6.28,-3.68%,"586,318",163.62,171.60,"9,255 M",35.93%,1.585,-,2.505
AXNX,AXONICS MODULATION TECHNLOGS I COM,58.16,-.72,-1.22%,"563,384",45.75,62.17,"2,419 M",55.35%,1.512,-,2.567
SWAV,SHOCKWAVE MEDICAL INC COM,116.64,-2.10,-1.77%,"369,671",100.00,121.48,"4,064 M",62.91%,1.429,-,2.986
MODN,MODEL N INC COM,34.97,-.67,-1.88%,"541,653",34.01,45.00,"1,226 M",42.78%,1.347,-,2.691
KRNY,KEARNY FINANCIAL CORP MD COM,12.175,-.415,-3.30%,"388,009",8.00,14.44,"1,025 M",47.91%,1.286,-,3.214
SOI,SOLARIS OILFIELD INFRASTRUCTUR COM CL A,12.68,+.12,+0.96%,"963,363",12.05,14.00,575 M,60.35%,1.273,-,3.609
FFBC,FIRST FINANCIAL BANCORP COM,23.27,-.87,-3.60%,"404,221",23.01,26.51,"2,266 M",53.48%,1.175,-,4.878
KOP,KOPPERS HOLDINGS INC COM,33.70,-2.40,-6.65%,"243,876",32.01,33.70,711 M,54.50%,1.05,-,2.786
DSL,DOUBLELINE INCOME SOLUTIONS FD COM,17.97,+.03,+0.17%,"327,251",17.60,18.02,"1,833 M",23.15%,1.021,-,3.514
KREF,KKR REAL ESTATE FINANCE TRUST COM USD0.01,18.62,-.10,-0.53%,"352,584",18.51,19.00,"1,036 M",36.28%,0.865,-,3.397
MCFT,MASTERCRAFT BOAT HOLDINGS INC COM,27.61,-1.33,-4.60%,"141,478",15.00,30.00,523 M,65.11%,0.834,-,3.679
LILAK,LIBERTY LATIN AMERICA LTD COM,13.94,-.53,-3.66%,"1,127,174",13.46,15.15,"3,235 M",65.41%,0.66,-,2.902
AFYA,AFYA LIMITED COM CL A,19.94,-.06,-0.30%,"122,240",16.14,21.00,"1,858 M",60.09%,0.56,-,3.28
SKY,SKYLINE CHAMPION CORPORATION COM,42.66,-2.12,-4.73%,"401,537",21.01,52.13,"2,416 M",63.31%,0.342,-,2.488
STEP,STEPSTONE GROUP INC COM CL A,32.10,-2.33,-6.77%,"767,426",31.86,32.09,939 M,60.16%,0.287,-,4.443
